Year,Week,Resort,Visitors,Avg_Max_Temp,Avg_Min_Temp,Total_Rainfall,Snow_Days,Avg_Temp
2014,1,Mt. Baw Baw,555,5.171428571428571,0.7714285714285715,14.8,0,2.971428571428571
2014,1,Mt. Stirling,60,4.514285714285714,-0.42857142857142855,20.0,0,2.0428571428571427
2014,1,Mt. Hotham,3483,3.642857142857143,-1.3714285714285712,34.4,2,1.1357142857142857
2014,1,Falls Creek,2790,4.685714285714285,-0.49999999999999994,23.2,0,2.0928571428571425
2014,1,Mt. Buller,8296,4.514285714285714,-0.42857142857142855,20.0,0,2.0428571428571427
2014,1,Thredbo,5535,4.742857142857143,-2.385714285714286,30.6,1,1.1785714285714284
2014,1,Perisher,7370,6.285714285714286,-1.8857142857142857,24.6,0,2.2
2014,1,Charlotte Pass,408,6.957142857142857,1.4142857142857141,12.6,0,4.185714285714286
2014,2,Mt. Baw Baw,804,4.8428571428571425,0.7714285714285715,41.2,1,2.807142857142857
2014,2,Mt. Stirling,42,4.799999999999999,-0.3428571428571429,45.8,0,2.228571428571428
2014,2,Mt. Hotham,1253,2.3142857142857145,-1.5285714285714285,18.0,3,0.392857142857143
2014,2,Falls Creek,1425,3.7285714285714286,-0.5714285714285714,7.6,1,1.5785714285714287
2014,2,Mt. Buller,1987,4.799999999999999,-0.3428571428571429,45.8,0,2.228571428571428
2014,2,Thredbo,2090,2.1714285714285713,-1.5999999999999999,18.0,2,0.2857142857142857
2014,2,Perisher,2751,4.485714285714286,-1.4714285714285718,51.2,1,1.5071428571428571
2014,2,Charlotte Pass,151,6.185714285714286,1.2714285714285716,24.6,0,3.7285714285714286
2014,3,Mt. Baw Baw,993,2.1428571428571432,-1.3571428571428572,63.00000000000001,1,0.392857142857143
2014,3,Mt. Stirling,30,1.2428571428571427,-2.142857142857143,117.4,6,-0.45000000000000007
2014,3,Mt. Hotham,2992,0.02857142857142847,-2.7571428571428576,24.400000000000002,3,-1.3642857142857145
2014,3,Falls Creek,2101,1.1857142857142855,-2.2,59.199999999999996,6,-0.5071428571428573
2014,3,Mt. Buller,2413,1.2428571428571427,-2.142857142857143,117.4,6,-0.45000000000000007
